word_entry	word_level_CEFRLex	word_frequency_total_CEFRLex	stratum_random_sample
läderhandel|NOUN	B2	0.7206	stratum_10
avgöra|VERB	B2	28.9274	stratum_1
blomma|VERB	B2	17.6716	stratum_1
darra|VERB	B2	8.9202	stratum_2
inrätta|VERB	B2	9.5684	stratum_2
besvara|VERB	B2	6.4968	stratum_3
reflektera|VERB	B2	7.5968	stratum_3
lugna|VERB	B2	4.5763	stratum_4
vänja|VERB	B2	5.1489	stratum_4
förvalta|VERB	B2	4.4251	stratum_5
förödmjuka|VERB	B2	3.8352	stratum_5
förebygga|VERB	B2	3.3987	stratum_6
fördöma|VERB	B2	3.1529	stratum_6
uppsluka|VERB	B2	3.1529	stratum_7
rykta|VERB	B2	2.5233	stratum_7
inträda|VERB	B2	2.345	stratum_8
misslyckas|VERB	B2	2.42	stratum_8
förfära|VERB	B2	1.4411	stratum_9
avstyra|VERB	B2	1.4411	stratum_9
arkivera|VERB	B2	0.7206	stratum_10
avleda|VERB	B2	0.7206	stratum_10
läger|NOUN	C1	4.0978	stratum_1
tyngd|NOUN	C1	4.2461	stratum_1
avbön|NOUN	C1	1.6391	stratum_2
gryning|NOUN	C1	2.3564	stratum_2
trafikant|NOUN	C1	1.6391	stratum_3
vits|NOUN	C1	1.6391	stratum_3
barnkammare|NOUN	C1	0.8196	stratum_4
barnpiga|NOUN	C1	0.8196	stratum_4
bussförare|NOUN	C1	0.8196	stratum_5
cykeltur|NOUN	C1	0.8196	stratum_5
drömmeri|NOUN	C1	0.8196	stratum_6
eftersmak|NOUN	C1	0.8196	stratum_6
gevärspipa|NOUN	C1	0.8196	stratum_7
gathörn|NOUN	C1	0.8196	stratum_7
imperialism|NOUN	C1	0.8196	stratum_8
husesyn|NOUN	C1	0.8196	stratum_8
kulturmöte|NOUN	C1	0.8196	stratum_9
lins|NOUN	C1	0.8196	stratum_9
maxim|NOUN	C1	0.8196	stratum_10
multikultur|NOUN	C1	0.8196	stratum_10
förutspå|VERB	C1	5.9942	stratum_1
inlåna|VERB	C1	2.4587	stratum_1
åtskilja|VERB	C1	2.4587	stratum_2
styrka|VERB	C1	2.3564	stratum_2
inlemma|VERB	C1	1.6391	stratum_3
klassa|VERB	C1	1.6391	stratum_3
separera|VERB	C1	1.6391	stratum_4
svepa|VERB	C1	1.6391	stratum_4
avbeställa|VERB	C1	0.8196	stratum_5
avläsa|VERB	C1	0.8196	stratum_5
benämna|VERB	C1	0.8196	stratum_6
bevilja|VERB	C1	0.8196	stratum_6
dingla|VERB	C1	0.8196	stratum_7
duga|VERB	C1	0.8196	stratum_7
förhöja|VERB	C1	0.8196	stratum_8
förgäta|VERB	C1	0.8196	stratum_8
förslå|VERB	C1	0.8196	stratum_9
gnugga|VERB	C1	0.8196	stratum_9
inkarnera|VERB	C1	0.8196	stratum_10
gästa|VERB	C1	0.8196	stratum_10
